id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance,capacity,address,holiday_date,description,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11,year,month,day,dayofweek,day_of_week,is_holiday,season,time_of_day,kick_off_hour,prefecture
9190,2006-03-04,2023-06-25 16:04:00,10,0,2,20,23,1,8.3,40.0,117,20916.0,21000,大阪府吹田市千里万博公園5-2,,,9 マグノ アウベス FW,8 フェルナンジーニョ FW,10 二川 孝広 MF,7 遠藤 保仁 MF,27 橋本 英郎 MF,17 明神 智和 MF,14 家長 昭博 DF,6 山口 智 DF,2 シジクレイ DF,21 加地 亮 DF,22 藤ヶ谷 陽介 GK,1,1,23 都築 龍太 GK,2 坪井 慶介 DF,4 田中 マルクス闘莉王 DF,20 堀之内 聖 DF,6 山田 暢久 MF,17 長谷部 誠 MF,13 鈴木 啓太 MF,8 三都主 アレサンドロ MF,18 小野 伸二 MF,10 ポンテ FW,21 ワシントン FW,2006,3,4,5,5,0,1,0,16.066666666666666,7
9191,2006-03-05,2023-06-25 13:00:00,10,1,23,21,38,1,12.9,28.0,659,14277.0,15859,山梨県甲府市小瀬町840,,,18 長谷川 太郎 FW,16 バレー FW,11 宇留野 純 FW,31 林 健太郎 MF,25 鈴木 健太 MF,8 倉貫 一毅 MF,4 山本 英臣 DF,20 ビジュ DF,15 アライール DF,32 杉山 新 DF,1 阿部 謙作 GK,0,2,21 西部 洋平 GK,25 市川 大祐 DF,26 青山 直晃 DF,4 高木 和道 DF,3 山西 尊裕 DF,13 兵働 昭弘 MF,7 伊東 輝悦 MF,16 枝村 匠馬 MF,10 藤本 淳吾 MF,18 チョ ジェジン FW,17 マルキーニョス FW,2006,3,5,6,6,0,1,0,13.0,11
9192,2006-03-05,2023-06-25 13:35:00,10,1,1,7,30,1,12.1,35.0,4,22531.0,48999,東京都調布市西町376-3,,,9 ルーカス FW,21 ササ サルセード FW,35 リチェーリ FW,6 今野 泰幸 MF,23 梶山 陽平 MF,19 伊野波 雅彦 MF,15 鈴木 規郎 DF,5 増嶋 竜也 DF,2 茂庭 照幸 DF,25 徳永 悠平 DF,1 土肥 洋一 GK,2,0,1 西川 周作 GK,2 三木 隆司 DF,4 深谷 友基 DF,22 上本 大海 DF,5 エジミウソン MF,11 トゥーリオ MF,6 梅田 高志 MF,17 根本 裕一 MF,26 内村 圭宏 MF,13 高松 大樹 FW,9 オズマール FW,2006,3,5,6,6,0,1,0,13.583333333333334,16
9193,2006-03-05,2023-06-25 14:04:00,10,1,24,26,60,1,11.6,42.0,89,28564.0,51697,静岡県袋井市愛野2300−1,,,15 西野 泰正 FW,22 カレン ロバート FW,7 名波 浩 MF,14 村井 慎二 MF,23 福西 崇史 MF,25 ファブリシオ MF,11 西 紀寛 MF,6 服部 年宏 DF,5 田中 誠 DF,2 鈴木 秀人 DF,1 川口 能活 GK,1,1,1 水谷 雄一 GK,22 中村 北斗 DF,4 金古 聖司 DF,5 千代反田 充 DF,3 アレックス DF,7 宮崎 光平 MF,6 布部 陽功 MF,8 ホベルト MF,14 古賀 誠史 MF,27 田中 佑昌 FW,36 グラウシオ FW,2006,3,5,6,6,0,1,0,14.066666666666666,24
9194,2006-03-05,2023-06-25 14:04:00,10,1,6,0,29,1,13.1,32.0,129,17199.0,20223,愛知県名古屋市瑞穂区山下通5-1,,,19 杉本 恵太 FW,11 玉田 圭司 FW,27 片山 奨典 MF,7 中村 直志 MF,14 吉村 圭司 MF,8 金 正友 MF,6 有村 光史 DF,29 深津 康太 DF,5 古賀 正紘 DF,4 大森 征之 DF,22 川島 永嗣 GK,3,2,22 吉田 宗弘 GK,2 ブルーノ クアドロス DF,5 前田 和哉 DF,3 柳本 啓成 DF,4 河村 崇大 MF,23 下村 東美 MF,10 ピンゴ MF,6 ゼ カルロス MF,8 森島 寛晃 FW,20 西澤 明訓 FW,9 古橋 達弥 FW,2006,3,5,6,6,0,1,0,14.066666666666666,14
9195,2006-03-05,2023-06-25 15:03:00,10,1,8,5,32,1,12.6,33.0,640,13085.0,62010,埼玉県さいたま市緑区美園2丁目1,,,10 マルティネス FW,8 小林 大悟 FW,11 藤本 主税 MF,16 久永 辰徳 MF,32 小林 慶行 MF,5 冨田 大介 MF,17 土屋 征夫 DF,2 奥野 誠一郎 DF,4 トニーニョ DF,22 波戸 康広 DF,20 荒谷 弘樹 GK,4,2,1 立石 智紀 GK,3 斎藤 大輔 DF,5 ストヤノフ DF,2 坂本 將貴 MF,6 阿部 勇樹 MF,7 佐藤 勇人 MF,16 山岸 智 MF,8 水野 晃樹 MF,22 羽生 直剛 MF,10 ハース FW,18 巻 誠一郎 FW,2006,3,5,6,6,0,1,0,15.05,5
9196,2006-03-05,2023-06-25 15:00:00,10,1,10,13,58,1,13.3,34.0,90,17444.0,26827,神奈川県川崎市中原区等々力1-1,,,10 ジュニーニョ FW,9 我那覇 和樹 FW,11 マルクス MF,6 マルコン MF,29 谷口 博之 MF,14 中村 憲剛 MF,20 長橋 康弘 MF,2 伊藤 宏樹 DF,13 寺田 周平 DF,5 箕輪 義信 DF,21 相澤 貴志 GK,6,0,21 野澤 洋輔 GK,17 海本 幸治郎 DF,19 海本 慶治 DF,26 中野 洋司 DF,5 梅山 修 DF,16 寺川 能人 MF,15 本間 勲 MF,8 シルビーニョ MF,18 鈴木 慎吾 MF,10 エジミウソン FW,11 矢野 貴章 FW,2006,3,5,6,6,0,1,0,15.0,19
9197,2006-03-05,2023-06-25 15:06:00,10,1,11,29,41,12,12.4,58.0,10,17564.0,36894,広島県広島市安佐南区大塚西5丁目1−1,,,11 佐藤 寿人 FW,10 ウェズレイ FW,7 森﨑 浩司 MF,8 森﨑 和幸 MF,14 戸田 和幸 MF,6 ベット MF,17 服部 公太 DF,3 小村 徳男 DF,4 ジニーニョ DF,5 駒野 友一 DF,1 下田 崇 GK,3,4,1 小澤 英明 GK,20 内田 篤人 DF,3 岩政 大樹 DF,4 大岩 剛 DF,7 新井場 徹 DF,24 青木 剛 MF,26 増田 誓志 MF,8 小笠原 満男 MF,10 本山 雅志 MF,11 深井 正樹 FW,13 柳沢 敦 FW,2006,3,5,6,6,0,1,0,15.1,12
9198,2006-03-05,2023-06-25 15:35:00,10,1,19,3,44,1,12.6,34.0,3,23607.0,72081,神奈川県横浜市港北区小机町3300,,,19 マルケス FW,9 久保 竜彦 FW,14 奥 大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野 良治 MF,17 吉田 孝行 MF,22 中澤 佑二 DF,30 栗原 勇蔵 DF,3 松田 直樹 DF,1 榎本 達也 GK,4,1,26 西村 弘司 GK,4 鈴木 和裕 DF,3 リカルド DF,2 鈴木 悟 DF,7 児玉 新 DF,18 米田 兼一郎 MF,16 斉藤 大介 MF,11 星 大輔 MF,14 中払 大介 MF,10 パウリーニョ FW,31 田原 豊 FW,2006,3,5,6,6,0,1,0,15.583333333333334,19
9199,2006-03-11,2023-06-25 14:04:00,21,0,20,24,32,1,16.0,48.0,126,56512.0,62010,埼玉県さいたま市緑区美園2丁目1,,,21 ワシントン FW,10 ポンテ FW,18 小野 伸二 MF,8 三都主 アレサンドロ MF,13 鈴木 啓太 MF,17 長谷部 誠 MF,6 山田 暢久 MF,20 堀之内 聖 DF,4 田中 マルクス闘莉王 DF,2 坪井 慶介 DF,23 都築 龍太 GK,3,1,1 川口 能活 GK,2 鈴木 秀人 DF,5 田中 誠 DF,20 金 珍圭 DF,6 服部 年宏 DF,11 西 紀寛 MF,8 菊地 直哉 MF,25 ファブリシオ MF,14 村井 慎二 MF,7 名波 浩 MF,22 カレン ロバート FW,2006,3,11,5,5,0,1,0,14.066666666666666,5
