section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance,capacity,home_team_score,away_team_score,year,month,day,dayofweek,day_of_week,is_holiday,season,time_of_day,kick_off_hour,prefecture
10,0,2,20,23,1,8.3,40.0,117,20916.0,21000,1,1,2006,3,4,5,5,0,1,0,16.066666666666666,7
10,1,23,21,38,1,12.9,28.0,659,14277.0,15859,0,2,2006,3,5,6,6,0,1,0,13.0,11
10,1,1,7,30,1,12.1,35.0,4,22531.0,48999,2,0,2006,3,5,6,6,0,1,0,13.583333333333334,16
10,1,24,26,60,1,11.6,42.0,89,28564.0,51697,1,1,2006,3,5,6,6,0,1,0,14.066666666666666,24
10,1,6,0,29,1,13.1,32.0,129,17199.0,20223,3,2,2006,3,5,6,6,0,1,0,14.066666666666666,14
10,1,8,5,32,1,12.6,33.0,640,13085.0,62010,4,2,2006,3,5,6,6,0,1,0,15.05,5
10,1,10,13,58,1,13.3,34.0,90,17444.0,26827,6,0,2006,3,5,6,6,0,1,0,15.0,19
10,1,11,29,41,12,12.4,58.0,10,17564.0,36894,3,4,2006,3,5,6,6,0,1,0,15.1,12
10,1,19,3,44,1,12.6,34.0,3,23607.0,72081,4,1,2006,3,5,6,6,0,1,0,15.583333333333334,19
21,0,20,24,32,1,16.0,48.0,126,56512.0,62010,3,1,2006,3,11,5,5,0,1,0,14.066666666666666,5
21,0,5,23,16,1,15.3,51.0,131,11896.0,19470,2,2,2006,3,11,5,5,0,1,0,15.033333333333333,4
21,0,13,1,42,12,15.4,43.0,10,40266.0,41684,2,0,2006,3,11,5,5,0,1,0,15.066666666666666,15
21,0,21,6,43,12,13.6,70.0,644,13054.0,20248,2,0,2006,3,11,5,5,0,1,0,15.066666666666666,24
21,0,29,19,55,1,13.8,66.0,117,22454.0,37496,0,3,2006,3,11,5,5,0,1,0,16.05,21
21,0,3,10,26,1,16.4,50.0,108,7921.0,20588,2,7,2006,3,11,5,5,0,1,0,16.1,0
21,0,26,8,49,12,15.4,66.0,16,12040.0,22331,1,1,2006,3,11,5,5,0,1,1,19.066666666666666,20
21,1,7,11,25,0,9.4,54.0,2,17043.0,31997,1,1,2006,3,12,6,6,0,1,0,14.1,6
21,1,0,2,34,12,10.6,67.0,10,30561.0,47853,1,6,2006,3,12,6,6,0,1,0,15.1,7
27,0,1,21,30,27,14.8,44.0,4,19011.0,48999,0,1,2006,3,18,5,5,0,1,0,14.066666666666666,16
27,0,24,3,19,35,11.6,80.0,668,10560.0,15165,1,1,2006,3,18,5,5,0,1,0,14.05,24
27,0,11,20,41,35,8.4,87.0,109,16742.0,36894,1,4,2006,3,18,5,5,0,1,0,14.083333333333334,12
27,0,8,13,32,12,15.3,46.0,639,9368.0,62010,1,2,2006,3,18,5,5,0,1,0,15.016666666666667,5
27,0,23,10,38,12,14.7,39.0,10,9082.0,15859,1,0,2006,3,18,5,5,0,1,0,15.066666666666666,11
27,0,6,29,59,0,10.3,73.0,655,22651.0,41255,0,0,2006,3,18,5,5,0,1,0,15.55,14
27,0,5,26,16,14,13.9,58.0,89,8567.0,19470,2,2,2006,3,18,5,5,0,1,0,16.066666666666666,4
27,0,19,0,44,35,12.3,76.0,2,19307.0,72081,3,1,2006,3,18,5,5,0,1,0,16.083333333333332,19
27,0,2,7,23,35,9.0,79.0,10,8388.0,21000,1,3,2006,3,18,5,5,0,1,1,19.066666666666666,7
28,0,29,23,55,1,15.3,24.0,2,14815.0,37496,3,1,2006,3,21,1,1,1,1,0,14.066666666666666,21
28,0,26,6,49,14,12.5,47.0,115,8585.0,22331,0,1,2006,3,21,1,1,1,1,0,14.066666666666666,20
28,0,20,0,32,1,16.5,25.0,15,43815.0,62010,3,0,2006,3,21,1,1,1,1,0,15.066666666666666,5
