iter	RMSE
0	9553.520443
1	9518.641627
2	9487.896427
3	9454.553501
4	9419.166526
5	9384.990431
6	9352.854096
7	9318.839874
8	9281.318412
9	9250.004164
10	9217.812571
11	9185.690832
12	9154.456337
13	9124.523074
14	9092.620136
15	9062.283139
16	9028.251241
17	8997.695684
18	8967.512757
19	8935.281813
20	8905.049246
21	8874.021467
22	8843.663543
23	8813.28112
24	8781.092019
25	8751.799972
26	8721.456296
27	8690.771205
28	8659.197375
29	8629.409062
30	8599.745759
31	8570.159049
32	8540.058217
33	8511.187991
34	8481.895036
35	8455.95064
36	8428.299354
37	8399.802176
38	8372.364992
39	8344.715023
40	8317.221479
41	8286.763943
42	8257.694497
43	8229.564573
44	8203.879354
45	8177.551943
46	8150.003472
47	8123.222145
48	8097.784619
49	8072.173268
50	8046.042706
51	8019.029758
52	7992.720266
53	7966.537668
54	7940.091486
55	7916.395052
56	7889.570949
57	7862.434256
58	7835.545274
59	7810.463883
60	7786.772324
61	7760.823563
62	7735.338753
63	7710.802133
64	7685.168213
65	7661.386897
66	7640.156128
67	7617.066301
68	7593.179405
69	7567.631209
70	7545.072725
71	7520.842916
72	7496.947518
73	7472.90316
74	7453.099794
75	7429.556231
76	7407.384821
77	7384.75391
78	7362.301937
79	7342.723031
80	7321.530454
81	7298.646874
82	7278.07335
83	7257.419335
84	7235.243502
85	7212.391436
86	7191.185723
87	7169.427454
88	7146.88131
89	7122.915101
90	7103.861962
91	7085.005555
92	7062.632711
93	7042.399534
94	7019.641521
95	7001.969173
96	6983.037493
97	6963.231454
98	6942.438155
99	6921.756492
100	6901.128173
101	6880.254391
102	6860.002397
103	6841.913144
104	6822.148216
105	6802.454645
106	6784.45871
107	6764.16636
108	6745.270371
109	6725.818589
110	6707.849577
111	6689.243134
112	6669.840108
113	6652.264356
114	6633.674515
115	6614.970806
116	6594.705637
117	6576.560224
118	6561.820881
119	6543.85279
120	6525.430026
121	6507.931501
122	6489.716252
123	6471.346853
124	6453.795119
125	6435.643532
126	6420.077188
127	6404.285768
128	6388.470541
129	6372.567201
130	6356.861157
131	6341.969355
132	6329.496437
133	6312.688419
134	6298.112134
135	6281.118424
136	6265.032267
137	6249.092731
138	6232.045808
139	6216.887909
140	6201.861945
141	6186.472725
142	6169.60508
143	6153.884625
144	6138.240659
145	6122.855964
146	6109.226233
147	6093.330747
148	6078.470479
149	6062.33617
150	6045.286844
151	6029.091271
152	6015.857309
153	6001.175193
154	5986.838263
155	5972.763747
156	5959.184384
157	5945.972879
158	5934.620717
159	5924.281977
160	5908.111724
161	5892.909809
162	5878.490776
163	5868.992708
164	5854.364658
165	5838.547573
166	5827.290852
167	5813.355913
168	5799.394071
169	5784.734144
170	5772.497014
171	5762.875721
172	5749.476623
173	5735.253935
174	5725.206626
175	5713.023831
176	5699.472199
177	5685.108183
178	5672.371854
179	5659.33192
180	5644.190043
181	5632.106236
182	5616.953591
183	5606.262788
184	5596.782927
185	5582.006614
186	5568.823302
187	5555.878134
188	5541.205767
189	5527.905352
190	5514.138559
191	5501.089013
192	5489.383062
193	5479.416442
194	5467.280497
195	5459.255398
196	5447.102004
197	5435.111486
198	5424.492294
199	5415.456852
200	5402.835929
201	5390.336673
202	5378.43286
203	5367.778887
204	5353.649471
205	5341.729279
206	5331.285284
207	5319.326205
208	5309.033499
209	5301.249613
210	5289.153915
211	5278.029888
212	5266.833166
213	5254.375423
214	5244.418863
215	5232.552443
216	5220.7764
217	5207.048942
218	5198.948162
219	5188.574291
220	5176.971693
221	5166.806651
222	5153.925661
223	5147.194413
224	5136.793572
225	5125.868425
226	5115.359625
227	5105.519541
228	5095.503838
229	5084.174344
230	5071.779221
231	5061.521455
232	5050.68687
233	5039.984796
234	5034.067731
235	5023.405449
236	5014.749139
237	5004.810863
238	4995.325582
239	4985.757079
240	4976.223102
241	4966.41126
242	4962.419244
243	4950.344201
244	4942.132488
245	4932.152408
246	4921.496025
247	4912.221604
248	4902.385274
249	4898.415643
250	4890.582487
251	4881.120841
252	4871.889345
253	4861.871231
254	4853.212115
255	4844.832801
256	4835.266032
257	4826.426447
258	4817.569103
259	4808.024416
260	4799.144659
261	4787.59945
262	4777.38742
263	4768.194046
264	4758.159317
265	4746.809629
266	4737.516146
267	4728.640881
268	4720.966674
269	4710.897594
270	4702.567472
271	4693.248172
272	4685.344192
273	4677.396786
274	4667.791397
275	4661.612519
276	4654.257977
277	4644.061428
278	4636.2353
279	4626.018385
280	4617.60216
281	4609.768952
282	4602.167273
283	4592.38779
284	4584.112802
285	4580.371251
286	4573.436325
287	4564.708254
288	4557.144861
289	4549.336224
290	4541.281343
291	4533.327279
292	4526.196296
293	4517.498803
294	4510.318567
295	4502.008688
296	4494.506468
297	4485.466585
298	4477.776121
299	4467.149796
300	4460.204023
301	4451.398206
302	4448.296139
303	4439.456257
304	4430.661237
305	4427.031322
306	4419.747273
307	4411.28687
308	4404.923934
309	4398.121448
310	4394.195888
311	4387.559506
312	4381.177603
313	4373.306304
314	4370.25141
315	4362.405741
316	4355.99949
317	4347.507447
318	4340.046773
319	4330.856226
320	4324.091212
321	4316.337203
322	4311.223657
323	4307.110132
324	4302.501706
325	4295.366362
326	4288.703743
327	4283.521946
328	4276.243682
329	4269.871888
330	4263.662687
331	4254.755098
332	4246.849104
333	4241.345612
334	4233.982193
335	4226.857649
336	4220.361209
337	4211.414492
338	4205.417155
339	4201.419627
340	4195.352338
341	4188.433327
342	4183.579826
343	4181.352613
344	4178.956194
345	4170.726043
346	4163.83628
347	4158.069593
348	4152.251472
349	4149.29653
350	4141.227896
351	4132.855972
352	4126.261292
353	4120.210295
354	4117.606358
355	4109.955539
356	4102.743289
357	4096.077622
358	4094.547476
359	4088.410248
360	4083.012062
361	4077.527459
362	4071.228989
363	4064.904732
364	4059.253055
365	4051.382488
366	4045.029546
367	4039.364805
368	4035.253688
369	4028.735295
370	4022.907476
371	4016.642223
372	4009.599141
373	4000.8445
374	3994.852928
375	3988.137713
376	3982.226745
377	3975.774822
378	3968.206608
379	3963.188532
380	3957.266709
381	3952.017812
382	3946.530195
383	3944.05959
384	3937.795069
385	3929.864069
386	3925.408444
387	3920.517855
388	3914.743506
389	3908.590619
390	3902.112344
391	3895.615584
392	3889.385324
393	3883.26403
394	3879.255655
395	3872.962917
396	3865.167558
397	3861.085674
398	3854.65973
399	3848.778814
400	3843.021091
401	3836.775052
402	3830.635971
403	3826.068225
404	3821.681265
405	3815.141022
406	3809.950759
407	3802.845289
408	3796.575011
409	3790.476088
410	3784.900331
411	3783.497155
412	3778.108849
413	3772.64265
414	3767.534749
415	3760.940204
416	3756.905976
417	3749.411943
418	3742.698723
419	3738.408148
420	3733.13901
421	3726.551841
422	3722.097873
423	3717.535656
424	3711.917324
425	3707.566017
426	3701.774846
427	3700.191544
428	3694.31734
429	3688.673116
430	3684.065805
431	3679.446
432	3674.503676
433	3667.876481
434	3663.492404
435	3659.632976
436	3655.893631
437	3649.9227
438	3645.400565
439	3640.181041
440	3635.496411
441	3630.505298
442	3628.947214
443	3622.818664
444	3617.236369
445	3612.068508
446	3606.492072
447	3603.703214
448	3597.534186
449	3591.348494
450	3585.556161
451	3580.251555
452	3575.704218
453	3571.145267
454	3566.773179
455	3562.488196
456	3558.378664
457	3555.043553
458	3551.83258
459	3547.057348
460	3541.832761
461	3537.010561
462	3531.911865
463	3527.772508
464	3522.717356
465	3519.737853
466	3515.386148
467	3510.480036
468	3505.211202
469	3500.232043
470	3495.505797
471	3491.459948
472	3488.351637
473	3483.478283
474	3478.12081
475	3473.739422
476	3469.222543
477	3464.448451
478	3459.954846
479	3457.02173
480	3454.182904
481	3449.179884
482	3444.76129
483	3440.643475
484	3435.924008
485	3431.670777
486	3429.051172
487	3425.938175
488	3419.212148
489	3413.910012
490	3409.555085
491	3404.145894
492	3400.336621
493	3396.190816
494	3391.273636
495	3387.090554
496	3384.347656
497	3380.783959
498	3377.392311
499	3374.12539
500	3369.701474
501	3365.040496
502	3360.398974
503	3355.007357
504	3350.561145
505	3347.239324
506	3345.882854
507	3340.265285
508	3336.079938
509	3334.481175
510	3330.872165
511	3326.352886
512	3321.112135
513	3315.817537
514	3309.81535
515	3305.395842
516	3300.999046
517	3296.744296
518	3293.466172
519	3290.361776
520	3284.167541
521	3281.841779
522	3276.816209
523	3272.514993
524	3269.160477
525	3264.24345
526	3259.669035
527	3257.350249
528	3252.273843
529	3249.745981
530	3244.609729
531	3240.387508
532	3236.204522
533	3232.234225
534	3228.381412
535	3223.781085
536	3219.306849
537	3216.342313
538	3212.354955
539	3207.656749
540	3202.794213
541	3199.537882
542	3196.270029
543	3193.238752
544	3188.278199
545	3183.809316
546	3179.078116
547	3175.465513
548	3171.171112
549	3166.870397
550	3162.707176
551	3159.012621
552	3155.106178
553	3151.106182
554	3149.518433
555	3145.148474
556	3140.103063
557	3134.898992
558	3130.826346
559	3126.532648
560	3123.528559
561	3120.495847
562	3117.4433
563	3113.046275
564	3108.991686
565	3104.959524
566	3100.245704
567	3097.464045
568	3092.886491
569	3088.433933
570	3084.687097
571	3081.932017
572	3078.502897
573	3075.793533
574	3072.382376
575	3067.641502
576	3063.750064
577	3060.528154
578	3056.503034
579	3050.407696
580	3047.331961
581	3042.32949
582	3037.524581
583	3034.07341
584	3030.188369
585	3026.455308
586	3023.488524
587	3019.246955
588	3014.433169
589	3010.630116
590	3008.77113
591	3007.949653
592	3005.268105
593	3001.923147
594	2998.202023
595	2994.329725
596	2990.092445
597	2985.602852
598	2981.943793
599	2977.249367
600	2972.777904
601	2970.031623
602	2967.38847
603	2964.273537
604	2961.974372
605	2956.746314
606	2953.603468
607	2951.234862
608	2947.880177
609	2944.683856
610	2940.038198
611	2937.318108
612	2934.884108
613	2931.802935
614	2929.328502
615	2925.580548
616	2922.5497
617	2918.643782
618	2915.091365
619	2912.26769
620	2908.624242
621	2904.563372
622	2901.137313
623	2897.745451
624	2893.964728
625	2892.476756
626	2889.516941
627	2887.294461
628	2887.104188
629	2883.841385
630	2880.187691
631	2877.152986
632	2872.695642
633	2868.048856
634	2865.655808
635	2865.414285
636	2862.527409
637	2857.894151
638	2854.306249
639	2851.102434
640	2847.897558
641	2845.428753
642	2841.364618
643	2836.975208
644	2834.134344
645	2830.918115
646	2827.570744
647	2825.282948
648	2821.317896
649	2817.77748
650	2813.153828
651	2810.834718
652	2808.592352
653	2804.631463
654	2802.937031
655	2798.677191
656	2797.114534
657	2795.328401
658	2791.387927
659	2788.88296
660	2785.413216
661	2781.335131
662	2778.119266
663	2774.564683
664	2772.976105
665	2769.895955
666	2767.626938
667	2764.654463
668	2762.763231
669	2761.138484
670	2757.809315
671	2755.615737
672	2753.386078
673	2750.164411
674	2747.285542
675	2744.787668
676	2742.387191
677	2740.086441
678	2736.829038
679	2735.001729
680	2732.492514
681	2727.753599
682	2724.520861
683	2721.705944
684	2718.095826
685	2716.395108
686	2713.692208
687	2710.826036
688	2707.592358
689	2704.986262
690	2702.063412
691	2699.464702
692	2696.168668
693	2696.060548
694	2693.316218
695	2690.02292
696	2687.098038
697	2683.455788
698	2679.68962
699	2676.31034
700	2672.340981
701	2670.735591
702	2667.271654
703	2664.37391
704	2659.786559
705	2655.827715
706	2653.211945
707	2649.550801
708	2647.468326
709	2645.249999
710	2643.103694
711	2640.20136
712	2636.866937
713	2633.751503
714	2631.091782
715	2628.221224
716	2627.86584
717	2624.998537
718	2622.129593
719	2620.367553
720	2617.162141
721	2616.071409
722	2612.318822
723	2609.324797
724	2606.437931
725	2603.938594
726	2601.188314
727	2599.227838
728	2596.365267
729	2592.565617
730	2591.700046
731	2591.398838
732	2588.334513
733	2585.859477
734	2582.615098
735	2582.346227
736	2580.336218
737	2577.892139
738	2575.885841
739	2573.38672
740	2569.636004
741	2569.436882
742	2565.615103
743	2563.231912
744	2560.448123
745	2558.849902
746	2556.880754
747	2554.306252
748	2551.40491
749	2549.611817
750	2547.292683
751	2544.910073
752	2541.119255
753	2538.32486
754	2536.421564
755	2534.171106
756	2530.522056
757	2527.027731
758	2525.301671
759	2522.804289
760	2521.078022
761	2518.439457
762	2515.98796
763	2514.049774
764	2509.768216
765	2507.690579
766	2505.41087
767	2503.854069
768	2503.765589
769	2501.578713
770	2497.866803
771	2496.522212
772	2493.722636
773	2491.555178
774	2489.633932
775	2486.297098
776	2483.27304
777	2480.23372
778	2477.080986
779	2475.110548
780	2471.71124
781	2469.411776
782	2468.218748
783	2465.160087
784	2462.765863
785	2460.35652
786	2457.822962
787	2455.955075
788	2452.483828
789	2449.88492
790	2448.091968
791	2444.116762
792	2440.746382
793	2437.860876
794	2434.672679
795	2433.496945
