iter	Passed	Remaining
0	14	27693
1	26	25583
2	37	23846
3	48	23448
4	51	19580
5	57	18417
6	62	17116
7	73	17496
8	83	17811
9	84	16239
10	96	16726
11	98	15686
12	108	15937
13	120	16426
14	131	16720
15	133	15889
16	143	16074
17	154	16343
18	155	15592
19	166	15840
20	179	16218
21	190	16463
22	200	16584
23	212	16775
24	215	16340
25	225	16465
26	237	16632
27	239	16166
28	250	16320
29	260	16448
30	272	16584
31	281	16631
32	292	16760
33	294	16335
34	304	16416
35	316	16554
36	326	16646
37	337	16736
38	348	16833
39	359	16915
40	369	16963
41	381	17072
42	391	17106
43	402	17180
44	405	16925
45	408	16661
46	418	16695
47	429	16751
48	440	16824
49	444	16627
50	455	16701
51	467	16800
52	479	16890
53	481	16652
54	492	16704
55	505	16826
56	516	16883
57	527	16930
58	538	16988
59	549	17049
60	553	16877
61	565	16946
62	575	16984
63	587	17042
64	598	17092
65	609	17138
66	611	16915
67	612	16690
68	616	16542
69	627	16601
70	638	16647
71	642	16499
72	654	16568
73	666	16623
74	667	16417
75	677	16449
76	688	16490
77	700	16543
78	711	16587
79	712	16403
80	724	16457
81	735	16487
82	736	16309
83	748	16373
84	759	16409
85	771	16451
86	782	16488
87	793	16518
88	804	16551
89	814	16574
90	826	16623
91	828	16468
92	839	16507
93	851	16549
94	862	16573
95	865	16451
96	868	16327
97	879	16358
98	889	16378
99	900	16402
100	912	16435
101	924	16479
102	934	16497
103	945	16524
104	957	16551
105	967	16569
106	979	16599
107	991	16636
108	1003	16678
109	1014	16705
110	1019	16626
111	1031	16657
112	1042	16685
113	1053	16692
114	1064	16711
115	1069	16636
116	1081	16668
117	1092	16691
118	1094	16569
119	1105	16593
120	1116	16606
121	1127	16630
122	1139	16656
123	1150	16674
124	1161	16683
125	1173	16711
126	1175	16607
127	1185	16611
128	1197	16636
129	1209	16657
130	1221	16689
131	1233	16712
132	1234	16592
133	1245	16608
134	1248	16522
135	1260	16547
136	1271	16560
137	1283	16577
138	1295	16605
139	1307	16638
140	1319	16662
141	1330	16672
142	1342	16689
143	1353	16704
144	1364	16712
145	1376	16731
146	1386	16735
147	1397	16738
148	1410	16776
149	1421	16781
150	1431	16776
151	1444	16806
152	1457	16837
153	1461	16774
154	1473	16790
155	1485	16803
156	1496	16810
157	1501	16755
158	1502	16653
159	1504	16555
160	1514	16557
161	1525	16562
162	1536	16568
163	1537	16472
164	1548	16482
165	1560	16495
166	1571	16505
167	1581	16503
168	1594	16526
169	1606	16544
170	1620	16581
171	1621	16492
172	1633	16506
173	1645	16520
174	1647	16432
175	1659	16454
176	1673	16485
177	1684	16499
178	1697	16516
179	1709	16538
180	1721	16547
181	1726	16496
182	1736	16495
183	1748	16504
184	1752	16441
185	1763	16446
186	1774	16453
187	1785	16460
188	1795	16457
189	1806	16460
190	1818	16468
191	1830	16480
192	1841	16486
193	1852	16492
194	1863	16496
195	1865	16419
196	1876	16423
197	1887	16425
198	1899	16436
199	1911	16445
200	1922	16453
201	1933	16450
202	1943	16447
203	1955	16460
204	1966	16462
205	1977	16461
206	1988	16467
207	1999	16470
208	2013	16490
209	2014	16412
210	2025	16412
211	2037	16423
212	2048	16429
213	2060	16432
214	2072	16443
215	2084	16450
216	2095	16451
217	2106	16452
218	2109	16391
219	2119	16389
220	2131	16392
221	2142	16400
222	2153	16400
223	2155	16333
224	2168	16348
225	2180	16356
226	2192	16359
227	2204	16365
228	2215	16366
229	2227	16374
230	2239	16381
231	2251	16388
232	2262	16390
233	2273	16389
234	2275	16323
235	2286	16321
236	2296	16320
237	2307	16316
238	2319	16323
239	2330	16322
240	2341	16323
241	2352	16324
242	2353	16252
243	2364	16252
244	2375	16253
245	2388	16264
246	2399	16262
247	2411	16270
248	2423	16272
249	2424	16203
250	2436	16211
251	2450	16229
252	2462	16235
253	2476	16253
254	2488	16256
255	2501	16268
256	2512	16267
257	2523	16265
258	2536	16274
259	2546	16270
260	2558	16270
261	2570	16277
262	2582	16281
263	2594	16286
264	2605	16282
265	2617	16283
266	2628	16284
267	2639	16283
268	2652	16291
269	2664	16291
270	2675	16291
271	2687	16290
272	2698	16291
273	2712	16301
274	2722	16297
275	2733	16291
276	2743	16283
277	2754	16279
278	2765	16274
279	2776	16270
280	2786	16265
281	2799	16270
282	2811	16272
283	2821	16264
284	2833	16264
285	2834	16204
286	2845	16200
287	2857	16200
288	2868	16197
289	2881	16203
290	2892	16204
291	2905	16207
292	2915	16201
293	2929	16214
294	2942	16220
295	2956	16228
296	2968	16230
297	2982	16245
298	2995	16248
299	3006	16246
300	3021	16260
301	3034	16265
302	3035	16211
303	3050	16223
304	3062	16228
305	3064	16173
306	3078	16184
307	3091	16189
308	3105	16202
309	3117	16202
310	3121	16159
311	3134	16163
312	3146	16163
313	3157	16160
314	3159	16106
315	3170	16105
316	3182	16105
317	3195	16109
318	3207	16108
319	3218	16101
320	3246	16181
321	3262	16201
322	3280	16229
323	3283	16186
324	3296	16190
325	3310	16196
326	3323	16202
327	3336	16204
328	3349	16205
329	3362	16213
330	3376	16220
331	3388	16218
332	3400	16216
333	3412	16212
334	3423	16208
335	3435	16207
336	3445	16196
337	3459	16200
338	3472	16206
339	3475	16161
340	3486	16155
341	3499	16157
342	3510	16151
343	3511	16099
344	3513	16048
345	3524	16044
346	3536	16041
347	3548	16039
348	3560	16035
349	3562	15991
350	3578	16004
351	3590	16003
352	3601	15998
353	3615	16003
354	3617	15959
355	3634	15975
356	3648	15985
357	3661	15986
358	3662	15935
359	3676	15942
360	3690	15948
361	3703	15950
362	3715	15945
363	3727	15942
